,two_average TP,two_average FP,two_average FN,two_average TN,matched_filter TP,matched_filter FP,matched_filter FN,matched_filter TN,swt TP,swt FP,swt FN,swt TN,engzee TP,engzee FP,engzee FN,engzee TN,christov TP,christov FP,christov FN,christov TN,hamilton TP,hamilton FP,hamilton FN,hamilton TN,pan_tompkins TP,pan_tompkins FP,pan_tompkins FN,pan_tompkins TN
208,1159,1706,1796,645339,938,1999,2017,645046,927,1123,2028,645922,899,1667,2056,645378,36,7910,2919,639135,639,1591,2316,645454,48,2885,2907,644160
222,282,2226,2201,645291,1102,1327,1381,646190,565,1922,1918,645595,1399,1036,1084,646481,30,8760,2453,638757,25,2480,2458,645037,187,2300,2296,645217
203,1131,1787,1849,645233,1801,1044,1179,645976,282,2669,2698,644351,1123,1384,1857,645636,33,7138,2947,639882,1218,1694,1762,645326,14,2928,2966,644092
109,826,1705,1706,645763,31,2499,2501,644969,143,2399,2389,645069,558,2624,1974,644844,0,0,0,0,796,1730,1736,645738,689,1840,1843,645628
116,572,1838,1840,645750,357,2030,2055,645558,463,1927,1949,645661,187,2142,2225,645446,0,0,0,0,1,2385,2411,645203,372,2018,2040,645570
112,1815,724,724,646737,1095,1449,1444,646012,685,1855,1854,645606,1828,707,711,646754,0,0,0,0,862,1679,1677,645782,76,2463,2463,644998
202,127,2035,2009,645829,665,1465,1471,646399,551,1576,1585,646288,566,1546,1570,646318,0,0,0,0,849,1275,1287,646589,46,2086,2090,645778
214,229,2040,2033,645698,401,1890,1861,645848,557,1682,1705,646056,426,1812,1836,645926,30,8614,2232,639124,724,1531,1538,646207,566,1692,1696,646046
215,115,3245,3248,643392,674,2688,2689,643949,1512,1848,1851,644789,744,2613,2619,644024,1011,2352,2352,644285,345,3015,3018,643622,414,2948,2949,643689
213,2260,989,991,645760,1738,1509,1513,645240,1157,1995,2094,644754,2469,761,782,645988,0,0,0,0,1080,2151,2171,644598,623,2627,2628,644122
118,25,2259,2253,645463,1,2278,2277,645444,218,2064,2060,645658,107,2310,2171,645412,53,8306,2225,639416,1,2277,2277,645445,3,2275,2275,645447
119,739,1255,1248,646758,463,1536,1524,646477,1002,981,985,647032,859,1129,1128,646884,0,0,0,0,41,1948,1946,646065,180,1808,1807,646205
201,810,1225,1153,646812,459,1477,1504,646560,392,1483,1571,646554,187,1715,1776,646322,0,0,0,0,95,1799,1868,646238,530,1383,1433,646654
205,2166,479,490,646865,1257,1386,1399,645958,1310,1319,1346,646025,1464,1128,1192,646216,0,0,0,0,94,2553,2562,644791,474,2177,2182,645167
108,49,1755,1714,646482,95,1760,1668,646477,28,1884,1735,646353,106,2163,1657,646074,19,7840,1744,640397,12,2106,1751,646131,3,1944,1760,646293
207,0,2183,1860,645957,0,2130,1860,646010,1,1781,1859,646359,63,379,1797,647761,24,8594,1836,639546,0,1900,1860,646240,0,2084,1860,646056
212,235,2512,2513,644740,1490,1259,1258,645993,1038,1704,1710,645548,689,2057,2059,645195,0,0,0,0,88,2735,2660,644517,459,2289,2289,644963
124,983,640,636,647741,310,1307,1309,647074,175,1444,1444,646937,657,902,962,647479,0,0,0,0,359,1251,1260,647130,31,1589,1588,646792
210,1768,867,882,646483,1490,1130,1160,646220,1038,1585,1612,645765,1867,615,783,646735,34,8438,2616,638912,469,2092,2181,645258,765,1863,1885,645487
114,1,1904,1878,646217,316,1952,1563,646169,8,1875,1871,646246,0,1844,1879,646277,3,3356,1876,644765,4,1879,1875,646242,8,1876,1871,646245
115,541,1411,1412,646636,185,1768,1768,646279,60,1893,1893,646154,0,1953,1953,646094,0,0,0,0,225,1946,1728,646101,12,1941,1941,646106
232,479,1850,1301,646370,0,1834,1780,646386,112,1677,1668,646543,51,2077,1729,646143,0,0,0,0,183,1610,1597,646610,39,1749,1741,646471
104,8,2223,2221,645548,405,1730,1824,646041,149,2108,2080,645663,291,1815,1938,645956,38,8462,2191,639309,18,2244,2211,645527,8,2246,2221,645525
223,11,2594,2594,644801,54,2531,2551,644864,26,2340,2579,645055,137,2353,2468,645042,0,0,0,0,129,2464,2476,644931,23,2580,2582,644815
100,1834,438,439,647289,1160,1112,1113,646615,704,1567,1569,646160,1117,1154,1156,646573,0,0,0,0,185,2089,2088,645638,1024,1248,1249,646479
107,0,2136,2137,645727,0,2151,2137,645712,1,2124,2136,645739,0,628,2137,647235,1,4271,2136,643592,10,2120,2127,645743,6,2127,2131,645736
220,75,1972,1973,645980,189,1858,1859,646094,262,1785,1786,646167,14,2032,2034,645920,0,0,0,0,9,2039,2039,645913,412,1636,1636,646316
111,121,2004,2003,645872,84,2072,2040,645804,330,1795,1794,646081,199,1314,1925,646562,94,2029,2030,645847,511,1614,1613,646262,179,1945,1945,645931
102,1226,961,961,646852,100,2087,2087,645726,861,1228,1326,646585,275,361,1912,647452,0,0,0,0,58,2129,2129,645684,100,2087,2087,645726
228,377,1769,1676,646178,1074,1125,979,646822,599,1514,1454,646433,947,1207,1106,646740,7,3738,2046,644209,634,1426,1419,646521,424,1649,1629,646298
234,1650,1100,1103,646147,1143,1610,1610,645637,2050,694,703,646553,2037,712,716,646535,0,0,0,0,0,2762,2753,644485,830,1923,1923,645324
